drug	status	target	atc	cas
lepirudin	non			
phylloquinone	non			
calcium	non			
lepirudin	approved	F2	B01AE02	138068-37-8
cetuximab	non			
cetuximab	approved	EGFR	L01XC06	205923-56-4
dornase alfa	approved		R05CB13	143831-71-4
denileukin diftitox	approved	IL2RA,IL2RB	L01XX29	173146-27-5
etanercept	approved	TNF,LTA	L04AB01	185243-69-0
bivalirudin	non			
phylloquinone	non			
calcium	non			
bivalirudin	approved	F2	B01AE06	128270-60-0
leuprolide	approved	GNRHR	L02AE51	53714-56-0
peginterferon alfa-2a	approved	IFNAR2,IFNAR1	L03AB11	198153-51-4
alteplase	non			
phylloquinone	non			
calcium	non			
alteplase	approved	PLG,FGA	B01AD02	105857-23-6
sermorelin	approved	GHRHR	V04CD03	86168-78-7
interferon alfa-n1	approved	IFNAR2,IFNAR1	L03AB06	74899-72-2
darbepoetin alfa	approved	EPOR	B03XA02	209810-58-2
urokinase	non			
phylloquinone	non			
calcium	non			
urokinase	approved	PLG,PLAUR,SERPINE1,SERPINB2	B01AD04	9039-53-6
goserelin	approved	LHCGR,GNRHR	L02AE03	65807-02-5
reteplase	non			
phylloquinone	non			
calcium	non			
reteplase	approved	PLG,FGA	B01AD07	133652-38-7
erythropoietin	approved	EPOR	B03XA01	11096-26-7
salmon calcitonin	approved		H05BA01	47931-85-1
interferon alfa-n3	approved	IFNAR1,IFNAR2		
pegfilgrastim	approved	CSF3R	L03AA13	208265-92-3
sargramostim	approved	CSF2RA,IL3RA,CSF2RB	L03AA09	123774-72-1
peginterferon alfa-2b	approved	IFNAR1,IFNAR2	L03AB10	215647-85-1
asparaginase escherichia coli	approved		L01XX02	9015-68-3
thyrotropin alfa	approved	TSHR	H01AB01	194100-83-9
antihemophilic factor, human recombinant	approved	F10,F9,VWF	B02BD02	139076-62-3
anakinra	approved	IL1R1	L04AC03	143090-92-0
gramicidin d	approved		R02AB30	1405-97-6
human immunoglobulin g	approved	FCGR1A,FCGR1B,FCGR2A,FCGR2B,FCGR2C,FCGR3A,FCGR3B,C3,C4A,C4B,C5		308067-58-5
anistreplase	non			
phylloquinone	non			
calcium	non			
anistreplase	approved	PLG,FGA	B01AD03	81669-57-0
insulin human	approved	INSR	A10AC01	11061-68-0
tenecteplase	non			
phylloquinone	non			
calcium	non			
tenecteplase	approved	PLG,FGA	B01AD11	191588-94-0
menotropins	approved	FSHR,LHCGR	G03GA02	9002-68-0
interferon gamma-1b	approved	IFNGR1,IFNGR2		98059-61-1
interferon alfa-2a, recombinant	approved	IFNAR1,IFNAR2	L03AB04	76543-88-9
desmopressin	approved	AVPR2,AVPR1A,AVPR1B	H01BA02	16679-58-6
coagulation factor viia recombinant human	approved		B02BD08	102786-61-8
oprelvekin	approved	IL11RA	L03AC02	145941-26-0
palifermin	approved	FGFR2	V03AF08	162394-19-6
glucagon	approved	GCGR	H04AA01	16941-32-5
aldesleukin	approved	IL2RB,IL2RA,IL2RG	L03AC01	110942-02-4
botulinum toxin type b	approved	VAMP2,VAMP1,SYT2	M03AX01	93384-44-2
omalizumab	approved	FCER1A,MS4A2	R03DX05	242138-07-4
lutropin alfa	approved	LHCGR	G03GA07	152923-57-4
