assoc_mesh_id	assoc_mesh_term	or	or_l95	or_u95	fisher_p	sim_obs	sim_not	dis_obs	dis_not	genes	drugs	side_effects	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
D006973	Hypertension	23.93620432788335	16.943319044659592	33.91686443398481	6.455714636822696e-63	78	65	1883	37570	OPRM1, ADRA1A, PDE3A, PDE5A, HRH1, EDNRA, AXL, SCN2A, ESR1, PDGFRA, PGR, VDR, ADRB2, KCNJ11, INSR, CHRM2, MTNR1B, HTR4, NPR1, VEGFA, PPARG, FLT3, TRHR, BCL2, ADRB1, ADRA1D	alfentanil, alfuzosin, anagrelide, avanafil, azelastine, bosentan, buprenorphine, butorphanol, cabozantinib, carbamazepine, cetirizine, cilostazol, conjugated, dasatinib, desogestrel, dipivefrin, dobutamine, doxepin, doxercalciferol, estramustine, estrofem, fentanyl, formoterol, fosphenytoin, gliclazide, glimepiride, glipizide, imatinib, implanon, insulin, ipratropium, lamotrigine, lantus, levonorgestrel, lisdexamfetamine, loratadine, medroxyprogesterone, megestrol, melatonin, metoclopramide, midodrine, mifepristone, morphine, nalbuphine, nalmefene, naloxone, naltrexone, nesiritide, nilotinib, olanzapine, oxcarbazepine, oxybutynin, paricalcitol, pazopanib, pegaptanib, pioglitazone, ponatinib, protirelin, raloxifene, regorafenib, remifentanil, repaglinide, rosiglitazone, salbutamol, sildenafil, sitaxsentan, sodium, sorafenib, sotalol, sufentanil, sunitinib, tadalafil, tamoxifen, tamsulosin, tramadol, trazodone, valproate, zyprexa	Hypertension	0.5454545454545454	0.4637203469530441	0.6248105087358393	0.9522723240311256	0.9501242815516598	0.9543323014022719
D000740	Anemia	9.83755519579792	6.8529588387853835	14.066887763848058	7.309408723993623e-31	59	75	2162	27040	REN, TH, EDNRA, CYP19A1, KDR, ADRB1, RXRA, PPARG, NFKB1, EDNRB, ABL1, NR3C1, TYMS, SLC6A4, RRM2, PDGFRA, MTOR, RRM1, CACNA2D1, EGFR, LPL, CPS1, KIT, FLT3, JAK2, PDE5A, BCL2, F2R	aliskiren, alpha-methyl-p-tyrosine, ambrisentan, anastrozole, axitinib, betaxolol, bexarotene, bezafibrate, bortezomib, bosentan, bosutinib, budesonide, capecitabine, carvedilol, citalopram, clofarabine, dasatinib, duloxetine, everolimus, fludarabine, fluoxetine, fluvoxamine, gabapentin, gefitinib, gemfibrozil, hydroxyurea, imatinib, lapatinib, macitentan, methotrexate, n-carbamylglutamate, nefazodone, nilotinib, paroxetine, pazopanib, pemetrexed, pioglitazone, ponatinib, prednisone, pregabalin, raltitrexed, rapamycin, regorafenib, rosiglitazone, ruxolitinib, sertraline, sibutramine, sildenafil, sitaxsentan, sodium, sorafenib, sunitinib, temsirolimus, tramadol, trazodone, troglitazone, venlafaxine, vorapaxar, ziprasidone	Anemia	0.44029850746268656	0.35907319291050943	0.524851425002792	0.9259639750702007	0.9229045877480095	0.9289113078863344
D001145	Arrhythmias, Cardiac	27.765012428646877	15.04502133791478	52.70621508078536	8.638782782734271e-27	32	18	951	14853	ADRB1, SCN5A, PDE3A, NR3C1, KCNH2, HCN4, FGFR1	acebutolol, amiodarone, anagrelide, bepridil, betaxolol, budesonide, carteolol, carvedilol, celiprolol, ciclesonide, cilostazol, disopyramide, dobutamine, dofetilide, esmolol, flecainide, flunisolide, ibutilide, ivabradine, labetalol, methylprednisolone, metipranolol, mexiletine, milrinone, ponatinib, prednisone, propafenone, riluzole, sotalol, timolol, topiramate, vernakalant	Arrhythmias, Cardiac	0.64	0.501410168761127	0.7586125034815326	0.9398253606681852	0.9360097715445461	0.9434271861333634
D013610	Tachycardia	35.6738421077059	16.426709444555797	85.73753577889455	6.777661091186203e-25	31	9	376	3902	SCN5A, CACNA1C, PDE3A, ACHE, CHRM2, KCNH2	amiodarone, amlodipine, anagrelide, cilostazol, clevidipine, diltiazem, disopyramide, felodipine, flecainide, galantamine, hydralazine, ibutilide, ipratropium, isradipine, lercanidipine, neostigmine, nicardipine, nifedipine, nimodipine, nisoldipine, olanzapine, oxybutynin, procainamide, propafenone, riluzole, rivastigmine, sotalol, tolterodine, topiramate, vernakalant, zyprexa	Tachycardia	0.775	0.6249690325768998	0.8768390867645925	0.9121084618980833	0.9032500244281825	0.9202274522393287
D007970	Leukopenia	9.273027992402309	5.8073428336498445	14.58899761066548	6.5109778950255685e-18	33	57	684	10960	KDR, NFKB1, EDNRA, ABL1, SLC12A2, ADRB2, PDE3A, GABRA1, XDH, S1PR4, CRBN, HTR4, KIT, FLT3, PPARG, PDE5A, FLT4, MAP2K2	axitinib, bortezomib, bosentan, bosutinib, bumetanide, carvedilol, cilostazol, clobazam, clonazepam, diazepam, estazolam, febuxostat, fty720, imatinib, lenalidomide, metoclopramide, nilotinib, nitrazepam, oxazepam, pazopanib, pomalidomide, ponatinib, regorafenib, rosiglitazone, sildenafil, sitaxsentan, sorafenib, sotalol, sunitinib, thalidomide, torasemide, trametinib, zolpidem	Leukopenia	0.36666666666666664	0.27447254779029884	0.46977695236018824	0.9412572998969426	0.9368390128144162	0.9453845336108467
D006331	Heart Diseases	33.662623596431374	14.572505348428091	80.68313741792818	8.1407683383828e-16	16	11	447	10358	EDNRA, CACNA1C, PDE3A, CHRM2, CPS1	ambrisentan, amlodipine, anagrelide, bepridil, bosentan, cilostazol, diltiazem, ipratropium, isradipine, lercanidipine, n-carbamylglutamate, nifedipine, nimodipine, olanzapine, oxybutynin, sitaxsentan	Heart Diseases	0.5925925925925926	0.40726700968064694	0.7548524292560443	0.9586302637667746	0.9547094603668914	0.9622250730665692
D001007	Anxiety	35.29531038395241	11.65209452469539	121.52452555999322	4.1663602759704465e-14	24	9	8	111	DRD2, ESR1	amisulpride, apomorphine, aripiprazole, asenapine, cabergoline, conjugated, domperidone, estramustine, ici, lisuride, loxapine, lurasidone, metoclopramide, olanzapine, paliperidone, pergolide, prochlorperazine, quetiapine, risperidone, ropinirole, tamoxifen, ziprasidone, zuclopenthixol, zyprexa	Anxiety	0.7272727272727273	0.5578244099712737	0.8493255911457935	0.9327731092436975	0.8729348841277934	0.965544249780444
D013921	Thrombocytopenia	8.227424258984083	4.218598325525643	16.65853833112	1.5911979894420388e-11	33	105	16	421	KDR, PPARG, NFKB1, EDNRA, KIT, TYMS, RRM1, PDGFRA, OPRD1, UGCG, FGFR2, JAK2	axitinib, bezafibrate, bortezomib, bosentan, cabozantinib, capecitabine, clofarabine, dasatinib, fentanyl, fludarabine, hydrocodone, hydroxyurea, imatinib, methadone, methotrexate, miglustat, morphine, nilotinib, pazopanib, pemetrexed, ponatinib, raltitrexed, regorafenib, rosiglitazone, ruxolitinib, sitaxsentan, sorafenib, sunitinib, vandetanib	Thrombocytopenia, Purpura, Thrombocytopenic, Thrombotic Microangiopathies	0.2391304347826087	0.17564378628692803	0.31674722126032745	0.9633867276887872	0.9413580151548742	0.9773396070774484
D000787	Angina Pectoris	14.04668598300071	6.122658615433424	32.68193829848702	3.863152831738604e-10	15	13	168	2051	EDNRA, FLT1, LPL, TGFB1, PLG	ambrisentan, axitinib, bosentan, gemfibrozil, pazopanib, pirfenidone, ponatinib, sitaxsentan, sunitinib, trans	Angina Pectoris, Chest Pain	0.5357142857142857	0.3581268923446791	0.7046843001720462	0.9242902208201893	0.9125355601058026	0.9345783861128389
D009369	Neoplasms	59.44978374403643	14.635970513435081	285.59931134603096	6.808175918019268e-9	7	4	56	1923	ESR1, FGFR2	conjugated, estrofem, ospemifene, ponatinib, raloxifene, tamoxifen, tibolone	Neoplasms	0.6363636363636364	0.35380117450784904	0.8483352890463244	0.9717028802425467	0.9634333974437927	0.9781446554532898
