se_mesh_id	se_mesh_term	or	or_l95	or_u95	fisher_p	sim_obs	sim_not	dis_obs	dis_not	genes	drugs	assocs	ppv	ppv_l95	ppv_u95	npv	npv_l95	npv_u95
D016889	Endometrial Neoplasms	37.63976244589489	9.950826924986307	158.54936818225616	2.5698765413232533e-8	8	22	5	530	CYP19A1, ESR1	anastrozole, conjugated, estrofem, letrozole, raloxifene, tamoxifen, tibolone, toremifene	Endometrial Neoplasms	0.26666666666666666	0.14182663319596328	0.4444796169518888	0.9906542056074766	0.978310942137781	0.9960016156765574
D003424	Crohn Disease	51.91079924521667	8.035077001174281	565.4833281077345	5.885204743528739e-6	5	25	2	533	PTGS2	diclofenac, ketoprofen, ketorolac, naproxen, tenoxicam	Crohn Disease	0.16666666666666666	0.0733654237184855	0.3356435050641603	0.9962616822429906	0.9864733393848021	0.9989742190902715
D009293	Opioid-Related Disorders	Inf	16.558360925545976	Inf	1.5298147101871972e-5	3	12	0	549	OPRM1	alfentanil, morphine, naloxone	Opioid-Related Disorders	0.2	0.07047549346981558	0.45185448715169346	1	0.9930514277476791	1
D007003	Hypoglycemia	Inf	4.330397299575195	Inf	9.936385965169655e-5	6	0	118	443	ABCC8	glibenclamide, gliclazide, glimepiride, glipizide, nateglinide, repaglinide	Hypoglycemia	1	0.6096657120978348	1	0.7896613190730838	0.754023949357562	0.8213587441836525
D002037	Bundle-Branch Block	14.164845398126094	3.4467013739767633	61.24304678047426	1.0234026227256483e-4	6	5	43	513	SCN5A	amiodarone, disopyramide, ibutilide, propafenone, riluzole, vernakalant	Bundle-Branch Block	0.5454545454545454	0.280091537409322	0.7872872837754024	0.9226618705035972	0.8974448796084231	0.9420785115138688
D012030	Refractive Errors	17.376340678663983	3.5748513887049116	91.43794348792538	1.7827060058280564e-4	5	37	4	521	PPARA, INSR	fenofibrate, humalog, insulin, lantus, novolog	Refractive Errors, Myopia	0.11904761904761904	0.051938033277582375	0.2500039026200967	0.9923809523809524	0.9805754516498646	0.9970332274293052
D000380	Agranulocytosis	0.2631716841671903	0.09099805907998092	0.6245019069307237	5.754359481401877e-4	6	66	127	367	PDE3A, KIT, ADRB2	cilostazol, imatinib, labetalol, penbutolol, sotalol, timolol	Neutropenia	0.08333333333333333	0.038752424956949666	0.17012355220676512	0.742914979757085	0.7026055326235223	0.7794756515521009
D002294	Carcinoma, Squamous Cell	14.840902487469588	3.04728365262522	59.56680508885266	6.206071499890491e-4	4	11	13	539	BRAF, PDGFRA, KDR	dabrafenib, regorafenib, sorafenib, vemurafenib	Carcinoma, Squamous Cell	0.26666666666666666	0.10897453325692374	0.5195043405598055	0.9764492753623188	0.9601269228697876	0.986186079970973
D013610	Tachycardia	3.503359807285227	1.5893331162812134	8.536570070865576	8.243973559655677e-4	31	9	261	266	SCN5A, CACNA1C, PDE3A, ACHE, CHRM2, KCNH2	amiodarone, amlodipine, anagrelide, cilostazol, clevidipine, diltiazem, disopyramide, felodipine, flecainide, galantamine, hydralazine, ibutilide, ipratropium, isradipine, lercanidipine, neostigmine, nicardipine, nifedipine, nimodipine, nisoldipine, olanzapine, oxybutynin, procainamide, propafenone, riluzole, rivastigmine, sotalol, tolterodine, topiramate, vernakalant, zyprexa	Tachycardia	0.775	0.6249690325768998	0.8768390867645925	0.5047438330170778	0.4621774583096518	0.5472415497895045
D014806	Vitamin B 12 Deficiency	58.322319907676196	4.178984179480913	618.4156645121841	0.00172015137210696	2	3	6	554	ATP4A	esomeprazole, omeprazole	Vitamin B 12 Deficiency	0.4	0.11762077423264794	0.769275718723987	0.9892857142857143	0.9768238564550796	0.9950805528910734
D012891	Sleep Apnea Syndromes	7.761154575331601	1.9085512405807321	28.368563790777326	0.0022278801437976116	5	41	8	513	HTR1A, DRD2	aripiprazole, iloperidone, paliperidone, risperidone, ropinirole	Sleep Wake Disorders	0.10869565217391304	0.04733145858098944	0.2303782864425082	0.9846449136276392	0.969996072410132	0.9921992563177521
D004802	Eosinophilia	0.2693942106240419	0.08267154493454482	0.684943105841923	0.0023308050063299106	5	66	109	387	LPL, KIT, BCL2, ADRB2	gemfibrozil, imatinib, nilotinib, sodium, sotalol	Eosinophilia	0.07042253521126761	0.030453602439710924	0.15449013113789906	0.780241935483871	0.7417233061354727	0.8144530475745658
D008133	Long QT Syndrome	7.1937273261019055	1.7738835732676348	26.20828215939918	0.0029848333214070066	5	8	44	510	SCN5A, KCNH2	amiodarone, bepridil, propafenone, sotalol, vernakalant	Long QT Syndrome	0.38461538461538464	0.17709707797762575	0.644771084873343	0.9205776173285198	0.8950567289491753	0.9403060656791555
D002385	Cataplexy	Inf	3.602899417158974	Inf	0.007067137809187315	1	3	0	562	HCRTR2	suvorexant	Narcolepsy	0.25	0.04558726080970059	0.699358157417598	1	0.9932110686468604	1
D009765	Obesity	4.631991971988732	1.416070264022883	17.551378304319236	0.007800133454461363	10	164	5	381	HTR1A, SLC6A4, NR3C1, OPRM1, GRIA1	aripiprazole, citalopram, clobetasone, fluvoxamine, methylprednisolone, naltrexone, paroxetine, prednisone, quetiapine, topiramate	Obesity	0.05747126436781609	0.03151344500121962	0.10254673972056623	0.9870466321243523	0.9700399002187525	0.9944547462394107
D016471	Ovarian Hyperstimulation Syndrome	Inf	2.8819902797636154	Inf	0.008818342151675597	1	0	4	562	FSHR	metrodin	Ovarian Hyperstimulation Syndrome	1	0.2065493143772375	1	0.9929328621908127	0.9819713350147811	0.9972483959517925
D012804	Sick Sinus Syndrome	17.92755562690187	1.5865828013429795	117.79144009037329	0.010725495833186164	2	10	6	549	HCN4, SCN5A	ivabradine, propafenone	Sick Sinus Syndrome	0.16666666666666666	0.04696514218385383	0.44803086225297334	0.9891891891891892	0.9766168843619502	0.9950361514487363
D009369	Neoplasms	4.68622871093101	1.171809787472777	22.146180997289978	0.013311771276785648	7	4	150	403	ESR1, FGFR2	conjugated, estrofem, ospemifene, ponatinib, raloxifene, tamoxifen, tibolone	Neoplasms	0.6363636363636364	0.35380117450784904	0.8483352890463244	0.72875226039783	0.6902125119341151	0.7641358416094871
D015228	Hypertriglyceridemia	2.4989634471696656	1.1514566344046266	5.148880799523817	0.014726416408157817	13	66	35	445	DRD2, ADRB1, F2, KIT, FGFR1, PPARG, RARA	aripiprazole, asenapine, bisoprolol, carvedilol, lmwh, nilotinib, olanzapine, paliperidone, ponatinib, risperidone, rosiglitazone, tazarotene, zyprexa	Hypertriglyceridemia	0.16455696202531644	0.09876707200220362	0.26145665227194703	0.9270833333333334	0.9002786961548993	0.9471063150413843
D000077195	Squamous Cell Carcinoma of Head and Neck	Inf	1.589720864165422	Inf	0.015873015873015886	1	8	0	558	BRAF	vemurafenib	Squamous Cell Carcinoma of Head and Neck	0.1111111111111111	0.01989088763854492	0.4349997055766559	1	0.9931627352158073	1
D006111	Graves Disease	65.07663108350188	0.9508081438108945	1617.3425266325646	0.026268396042310124	1	4	2	560	TSHR	thyroxine	Graves Disease	0.2	0.03622410863243014	0.6244653702374747	0.99644128113879	0.9871184228985409	0.9990235278220073
D010976	Platelet Count	2.6376110590932864	0.9246932619427422	6.593124093263923	0.03486722992203295	7	34	38	488	KIT, BCL2, MPL, EGFR	axitinib, imatinib, pazopanib, sodium, su5416, sunitinib, vandetanib	Platelet Count	0.17073170731707318	0.08525251977595001	0.31262612400404177	0.9277566539923955	0.902394206139694	0.9469164555846585
D001943	Breast Neoplasms	3.8739060880552443	0.8784349388418063	13.342952435918681	0.03666508621349763	4	13	39	493	ESR1, SRD5A2	conjugated, dutasteride, estrofem, finasteride	Breast Neoplasms	0.23529411764705882	0.09555044322080115	0.4726179811956497	0.9266917293233082	0.9013532083096057	0.9459123261624472
