se_name	mesh_id	mesh_term	map_type	se_name_check	drug_count	check
Nausea	D009325	Nausea	UMLS_MEDDRA	Nausea	1207	TRUE
Headache	D006261	Headache	UMLS_MEDDRA	Headache	1115	TRUE
Dermatitis	D003872	Dermatitis	UMLS_MEDDRA	Dermatitis	1096	TRUE
Rash	D005076	Exanthema	MM_CUI	Rash	1088	TRUE
Vomiting	D014839	Vomiting	UMLS_MEDDRA	Vomiting	1087	TRUE
Dizziness	D004244	Dizziness	MM_CUI	Dizziness	1035	TRUE
Diarrhoea	D003967	Diarrhea	UMLS_MEDDRA	Diarrhoea	981	TRUE
Pruritus	D011537	Pruritus	UMLS_MEDDRA	Pruritus	948	TRUE
Asthenia	D005221	Fatigue	UMLS	Asthenia	910	TRUE
Hypersensitivity	D006967	Hypersensitivity	UMLS_MEDDRA	Hypersensitivity	904	TRUE
Abdominal pain	D015746	Abdominal Pain	MM_CUI	Abdominal pain	828	TRUE
Urticaria	D014581	Urticaria	UMLS_MEDDRA	Urticaria	801	TRUE
Gastrointestinal pain	D015746	Abdominal Pain	MANUAL_CURATION	Gastrointestinal pain	782	TRUE
Body temperature increased	D005334	Fever	UMLS_MEDDRA	Body temperature increased	773	TRUE
Gastrointestinal disorder	D005767	Gastrointestinal Diseases	UMLS_MEDDRA	Gastrointestinal disorder	745	TRUE
Pain	D010146	Pain	UMLS_MEDDRA	Pain	743	TRUE
Feeling abnormal				Feeling abnormal	733	TRUE
Fatigue	D005221	Fatigue	UMLS_MEDDRA	Fatigue	730	TRUE
Constipation	D003248	Constipation	UMLS_MEDDRA	Constipation	703	TRUE
Dyspnoea	D004417	Dyspnea	MM_CUI	Dyspnoea	702	TRUE
Dyspepsia	D004415	Dyspepsia	UMLS_MEDDRA	Dyspepsia	701	TRUE
Decreased appetite	D000855	Anorexia	MANUAL_CURATION	Decreased appetite	694	TRUE
Musculoskeletal discomfort	D002637	Chest Pain	REVERSE SUBSTRING MATCH	Musculoskeletal discomfort	694	TRUE
Insomnia	D007319	Sleep Initiation and Maintenance Disorders	LOOKUP_EXACT_UMLS_TERM	Insomnia	676	TRUE
Somnolence	D000077260	Sleepiness	MM_CUI	Somnolence	668	TRUE
Hypotension	D007022	Hypotension	UMLS_MEDDRA	Hypotension	667	TRUE
Paraesthesia	D010292	Paresthesia	MM_CUI	Paraesthesia	652	TRUE
Skin disorder	D012871	Skin Diseases	MANUAL_CURATION	Skin disorder	637	TRUE
Anaphylactic shock	D000707	Anaphylaxis	UMLS_MEDDRA	Anaphylactic shock	630	TRUE
Nervous system disorder	D009422	Nervous System Diseases	UMLS_MEDDRA	Nervous system disorder	629	TRUE
Thrombocytopenia	D013921	Thrombocytopenia	MANUAL_CURATION	Thrombocytopenia	604	TRUE
Infection	D003141	Communicable Diseases	MM_CUI	Infection	603	TRUE
Anorexia	D000855	Anorexia	UMLS_MEDDRA	Anorexia	602	TRUE
Hyperhidrosis	D006945	Hyperhidrosis	UMLS_MEDDRA	Hyperhidrosis	602	TRUE
Tachycardia	D013610	Tachycardia	UMLS_MEDDRA	Tachycardia	597	TRUE
Shock	D012769	Shock	UMLS_MEDDRA	Shock	594	TRUE
Arthralgia	D018771	Arthralgia	MM_CUI	Arthralgia	588	TRUE
Unspecified disorder of skin and subcutaneous tissue	D012871	Skin Diseases	MANUAL_CURATION	Unspecified disorder of skin and subcutaneous tissue	587	TRUE
Cough	D003371	Cough	UMLS_MEDDRA	Cough	573	TRUE
Oedema	D004487	Edema	UMLS_MEDDRA	Oedema	573	TRUE
Myalgia	D063806	Myalgia	MM_CUI	Myalgia	571	TRUE
Hypertension	D006973	Hypertension	UMLS_MEDDRA	Hypertension	567	TRUE
Discomfort	D010146	Pain	MANUAL_CURATION	Discomfort	561	TRUE
Dry mouth	D014987	Xerostomia	UMLS_MEDDRA	Dry mouth	558	TRUE
